0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,label
0.32601422,0.47735086,0.73657227,0.6650407,0.5365821,0.56892836,0.48603365,0.71685344,0.57755035,0.67567,0.55831397,0.4189958,0.51630664,0.52333945,0.55551904,0.5565242,0.5699104,0.42795098,0.4569842,0.53138447,0.5377247,0.63962054,0.55495757,0.5774435,0.45713624,0.5323059,0.5424537,0.6222255,0.6242256,0.44759303,0.60379255,0.68515676,0.57099324,0.65590394,0.49342394,0.44966763,0
0.34024668,0.47545937,0.8450517,0.7556499,0.5962272,0.7085403,0.561611,0.78450507,0.6484596,0.74553114,0.6458725,0.45683795,0.5004089,0.5724211,0.6406068,0.62361383,0.64424855,0.52808726,0.45219573,0.5520594,0.63070476,0.7157373,0.60415834,0.6069211,0.50880873,0.6109457,0.6398929,0.66461366,0.5967557,0.50794977,0.66390663,0.78971577,0.6004708,0.71305597,0.59883654,0.47183064,0
0.3669192,0.43915713,0.79844064,0.7079411,0.5047417,0.6162652,0.41354144,0.705692,0.5083156,0.73239744,0.61207944,0.4406555,0.5439983,0.5978185,0.52251935,0.638324,0.65244347,0.44561452,0.49805558,0.60153407,0.5691762,0.7269678,0.6358236,0.62191826,0.51191366,0.5538835,0.5860409,0.6464482,0.5849412,0.5255275,0.66251975,0.71725976,0.59735453,0.63561517,0.51264817,0.39619887,0
0.50847614,0.58340514,0.8318781,0.81405956,0.69063103,0.71113247,0.6438404,0.84785914,0.6716319,0.8222109,0.7241896,0.6226168,0.7252131,0.7367966,0.65892273,0.7249425,0.73828226,0.5632236,0.6457539,0.6966999,0.69201994,0.80644447,0.73246306,0.7355515,0.70827305,0.62711173,0.71405596,0.80043966,0.7058189,0.6046899,0.7955512,0.83206534,0.7030429,0.7422632,0.64097995,0.6053145,0
0.38011256,0.41881448,0.7672658,0.6968223,0.5054266,0.6599543,0.5300235,0.74094826,0.5184894,0.7360423,0.59810346,0.46794355,0.5349436,0.59175813,0.50366884,0.6191187,0.6177061,0.41334417,0.48997048,0.5521883,0.546833,0.6710134,0.60155994,0.5503953,0.48092377,0.57873565,0.54239696,0.6287499,0.5891183,0.4844905,0.6606411,0.72092116,0.5538905,0.644192,0.53471684,0.44279712,0
0.33416238,0.49613383,0.74698406,0.7325572,0.60609823,0.621827,0.46668282,0.7097416,0.5504468,0.7522182,0.5132521,0.42220345,0.539124,0.5800573,0.50091183,0.6571935,0.64527386,0.4669818,0.45438823,0.6015505,0.600828,0.64808226,0.64919114,0.5297803,0.57946044,0.5429218,0.5785766,0.67384285,0.56603235,0.53234,0.67693835,0.7149212,0.55269915,0.6688682,0.5043511,0.4856896,0
0.34372818,0.43420357,0.74655443,0.6778615,0.50547475,0.62218785,0.5276862,0.71572036,0.49663654,0.7171674,0.5538912,0.4841905,0.5459303,0.6059682,0.47239792,0.56224954,0.63507724,0.41947818,0.4818863,0.5892912,0.5703168,0.73252803,0.6633671,0.559238,0.5386977,0.5452645,0.54679674,0.6054591,0.5939567,0.5473478,0.685343,0.6844292,0.5118858,0.640394,0.53279626,0.4571159,0
0.37396258,0.46679854,0.7943097,0.755086,0.5837007,0.6660362,0.49298167,0.78324556,0.5841847,0.7582641,0.5862247,0.51512265,0.49969524,0.57692635,0.49872658,0.63344455,0.67231953,0.44647032,0.5026251,0.5739719,0.62235165,0.683678,0.67701507,0.57291055,0.5753119,0.59763056,0.57871056,0.66966903,0.6012969,0.5572978,0.7205534,0.78154635,0.5459554,0.71166927,0.57790905,0.4941062,0
0.33735287,0.42709666,0.78097236,0.6837374,0.50479513,0.65316606,0.4801301,0.7254509,0.51900756,0.69062364,0.5334184,0.41689217,0.44864875,0.5014035,0.4984049,0.5357298,0.6128999,0.45476955,0.41414705,0.52263826,0.53961724,0.6350594,0.49629393,0.5520901,0.46176448,0.5001577,0.5706766,0.5643648,0.56830937,0.50111866,0.6347262,0.70156384,0.526007,0.6388117,0.52610475,0.42850816,0
0.2539141,0.4531098,0.74338543,0.69543535,0.55252576,0.5441686,0.42017695,0.67249495,0.53930986,0.65481126,0.5343045,0.37114608,0.48358542,0.54927576,0.528884,0.57246685,0.5558308,0.41242903,0.41762865,0.4976468,0.5530439,0.6661318,0.53101844,0.5048245,0.42953485,0.4976223,0.5506854,0.589892,0.5343746,0.4326745,0.61425835,0.6794291,0.5178032,0.67413163,0.50966156,0.47205052,0
0.37825343,0.4639094,0.78680205,0.70368314,0.5283288,0.6445203,0.5160043,0.75676525,0.5552356,0.75461406,0.62779653,0.4727058,0.5042645,0.5487951,0.58707726,0.66873014,0.64843804,0.43203112,0.5024375,0.5712996,0.6008003,0.7075549,0.5496742,0.56524074,0.486446,0.5356778,0.5752335,0.6641674,0.566428,0.5309831,0.6992895,0.76636267,0.5862602,0.7175187,0.5470792,0.4678122,0
0.28742215,0.38814136,0.67804796,0.62966764,0.49570766,0.5020513,0.4374156,0.67218614,0.513209,0.655056,0.5276956,0.4186787,0.41923928,0.48632577,0.45730814,0.5068742,0.5576382,0.36204374,0.3880218,0.5111365,0.5559844,0.5874322,0.5445168,0.4797604,0.4642186,0.5326924,0.4809316,0.56523883,0.47568533,0.3789364,0.60721165,0.6640304,0.4404757,0.59681237,0.50253797,0.44548896,0
0.4180775,0.49403852,0.836024,0.76555246,0.56236446,0.6813165,0.5225166,0.79165184,0.56583595,0.7927853,0.62880266,0.53719884,0.5556624,0.62331855,0.612678,0.7032103,0.68500376,0.4726692,0.52908677,0.6042086,0.62865835,0.7269262,0.6195065,0.6167345,0.5612594,0.5870954,0.64177465,0.68718195,0.6639558,0.5140053,0.7344121,0.7908896,0.5775912,0.74988323,0.60633093,0.51817083,0
0.39883262,0.5369259,0.83586055,0.8192569,0.6209644,0.7113089,0.5765718,0.8570705,0.5642156,0.78120685,0.6800767,0.5423397,0.6047067,0.6999247,0.5838785,0.74347943,0.7109531,0.5236935,0.6173907,0.65875375,0.6704472,0.7742886,0.74161536,0.68458384,0.6287001,0.6731755,0.6788152,0.7580717,0.6288069,0.5523891,0.8114699,0.8143994,0.6822123,0.7367352,0.6056756,0.5270313,0
0.36720538,0.49833158,0.80733275,0.7926836,0.6023983,0.7197919,0.55520016,0.79325616,0.60277224,0.79865766,0.6519512,0.52531934,0.5866916,0.6758852,0.6040928,0.73025846,0.6590053,0.50169516,0.5316905,0.6838062,0.63970506,0.76707035,0.6823457,0.5689483,0.5412918,0.6321161,0.6818457,0.7130394,0.63477886,0.5785461,0.78170764,0.8050839,0.67200434,0.7614438,0.5597907,0.5369356,0
0.33554506,0.36291718,0.78997946,0.66545206,0.5229614,0.62940705,0.45979595,0.70964956,0.5654445,0.7101754,0.5672291,0.44595578,0.51350355,0.56349117,0.5738524,0.62794983,0.6323717,0.40924212,0.479416,0.5147121,0.5229822,0.66001314,0.55187166,0.559504,0.45746544,0.53602964,0.5563891,0.600921,0.64176285,0.41295663,0.6412286,0.74067914,0.5713883,0.6484204,0.5391628,0.4591708,0
0.38750997,0.46041238,0.7824232,0.715773,0.5300007,0.67154855,0.42864296,0.7434507,0.5352748,0.7492986,0.6220764,0.5100693,0.5054607,0.58515984,0.5253739,0.66650474,0.6508279,0.44913816,0.55098957,0.61467427,0.58184063,0.6945421,0.623933,0.5757769,0.48208064,0.5533099,0.56019145,0.646328,0.6315951,0.49012625,0.7073595,0.7227599,0.57954943,0.66283745,0.5370392,0.47679004,0
0.36100996,0.4554643,0.8196637,0.76707923,0.6076997,0.6851484,0.47194082,0.7844689,0.6261988,0.75389785,0.6189004,0.5173935,0.5918649,0.6465228,0.5555325,0.64808446,0.6610341,0.5162593,0.5544082,0.5729498,0.5512516,0.7082944,0.61545116,0.6406651,0.5665579,0.5568306,0.6682388,0.7153123,0.67098486,0.47455224,0.7242021,0.78221947,0.60583884,0.6847871,0.6047163,0.5223877,0
0.38743022,0.4746187,0.7855299,0.7009819,0.5768322,0.62917006,0.55083644,0.7460633,0.61358905,0.7565697,0.6131927,0.54616404,0.5541494,0.61988205,0.5608427,0.6629996,0.6584336,0.39030784,0.49559265,0.5848814,0.63503635,0.7049144,0.64529485,0.58744234,0.5528781,0.59620816,0.57026535,0.6562017,0.6122521,0.47051594,0.71322805,0.7902297,0.5533945,0.73079413,0.56249297,0.5091981,0
0.44230443,0.55600375,0.87153226,0.80435556,0.5476582,0.7269808,0.5934815,0.85886824,0.5765864,0.81655335,0.73668975,0.6023412,0.6195791,0.70244324,0.61857367,0.797546,0.68470407,0.4819266,0.5912354,0.6000048,0.6124258,0.7809135,0.677058,0.6877703,0.55448437,0.6950341,0.68743175,0.7403765,0.7057448,0.57120144,0.8232446,0.8343819,0.71421725,0.7878979,0.5633998,0.5569678,0
0.3296955,0.42056748,0.75536597,0.7280142,0.50522435,0.63247406,0.4253072,0.7181035,0.51457965,0.71992224,0.5693863,0.44748163,0.50100183,0.6163402,0.5071366,0.61174417,0.6002971,0.43793812,0.4757906,0.5906539,0.5495761,0.68815285,0.5714066,0.6007648,0.5071393,0.4897402,0.59480643,0.63980347,0.5447313,0.5353933,0.68192756,0.7171502,0.5214034,0.6285345,0.49959338,0.41262135,0
0.2719694,0.43342686,0.7405694,0.68464476,0.4986317,0.56847245,0.37419164,0.665314,0.511084,0.6948668,0.5791612,0.42238936,0.48683956,0.51899904,0.4695734,0.605422,0.5617981,0.42147255,0.46566373,0.58255017,0.56466335,0.6539155,0.51496136,0.5874691,0.49105567,0.42289546,0.6064741,0.6240757,0.5277631,0.44523507,0.65325356,0.6667221,0.5406224,0.6166908,0.49181405,0.41920197,0
0.28804722,0.3874454,0.728896,0.66941303,0.51066136,0.6102919,0.42221084,0.65863186,0.49713024,0.6580014,0.54912126,0.42539975,0.49144062,0.50536805,0.5073903,0.59526813,0.5387789,0.38547984,0.43756542,0.5737972,0.53367406,0.6547717,0.5673036,0.4610956,0.42438027,0.5191411,0.55185235,0.5640359,0.57808745,0.4602526,0.65541995,0.6657345,0.49089566,0.6194139,0.49055234,0.4235648,0
0.2757273,0.42163673,0.74772704,0.6467333,0.41562545,0.54559946,0.4531123,0.6600956,0.51477337,0.68901217,0.5575423,0.35128894,0.4638841,0.55532086,0.49932465,0.5568404,0.5838199,0.39876986,0.39039457,0.54277575,0.51379794,0.6396154,0.5541671,0.5870063,0.4524895,0.4885156,0.5566152,0.5968437,0.5183531,0.47342893,0.63281995,0.67078644,0.53656316,0.6538301,0.49225485,0.38644034,0
0.3132339,0.49793348,0.83341646,0.76458037,0.6143507,0.6999591,0.5743357,0.78395677,0.6180315,0.76633835,0.67003816,0.44900137,0.5957363,0.58744514,0.5956738,0.7309495,0.68017596,0.4321873,0.5128781,0.62160593,0.64564013,0.7402266,0.65319276,0.6228989,0.55612355,0.5882917,0.6969617,0.70552593,0.66252595,0.52769786,0.7616432,0.7833882,0.64368904,0.74571764,0.5816697,0.4978875,0
